total_iter=196, loss_cls=1.4166326522827148, loss_fd=0.008726732805371284, loss_total=10.115849494934082
total_iter=197, loss_cls=1.7407004833221436, loss_fd=0.008385159075260162, loss_total=11.03805160522461
total_iter=198, loss_cls=1.488486409187317, loss_fd=0.008605093695223331, loss_total=10.638771057128906
total_iter=199, loss_cls=1.595788836479187, loss_fd=0.00858752429485321, loss_total=10.410622596740723
total_iter=200, loss_cls=1.7966960668563843, loss_fd=0.008435573428869247, loss_total=10.774516105651855
total_iter=201, loss_cls=1.7777444124221802, loss_fd=0.008497335016727448, loss_total=11.324657440185547
total_iter=202, loss_cls=1.6227060556411743, loss_fd=0.008504446595907211, loss_total=10.390750885009766
total_iter=203, loss_cls=1.4449235200881958, loss_fd=0.008684566244482994, loss_total=10.037673950195312
total_iter=204, loss_cls=1.4659522771835327, loss_fd=0.008570823818445206, loss_total=10.24777889251709
total_iter=205, loss_cls=1.7204456329345703, loss_fd=0.008411278948187828, loss_total=10.445304870605469
total_iter=206, loss_cls=1.6295690536499023, loss_fd=0.008502224460244179, loss_total=10.077244758605957
total_iter=207, loss_cls=1.593892216682434, loss_fd=0.008603744208812714, loss_total=10.378641128540039
total_iter=208, loss_cls=1.6127113103866577, loss_fd=0.00880279392004013, loss_total=10.582974433898926
total_iter=209, loss_cls=1.502543568611145, loss_fd=0.008572886697947979, loss_total=10.247455596923828
total_iter=210, loss_cls=1.6687852144241333, loss_fd=0.008407983928918839, loss_total=11.169013023376465
total_iter=211, loss_cls=1.293901801109314, loss_fd=0.00870617013424635, loss_total=9.649765968322754
total_iter=212, loss_cls=1.5219411849975586, loss_fd=0.008612260222434998, loss_total=10.7018404006958
total_iter=213, loss_cls=1.6968209743499756, loss_fd=0.008544709533452988, loss_total=11.068163871765137
total_iter=214, loss_cls=1.7420904636383057, loss_fd=0.008696899749338627, loss_total=10.704829216003418
total_iter=215, loss_cls=1.784336805343628, loss_fd=0.008400499820709229, loss_total=10.143507957458496
total_iter=216, loss_cls=1.4339287281036377, loss_fd=0.008524206466972828, loss_total=9.785184860229492
total_iter=217, loss_cls=1.6055763959884644, loss_fd=0.008562534116208553, loss_total=10.892343521118164
total_iter=218, loss_cls=1.6526070833206177, loss_fd=0.008195504546165466, loss_total=9.772708892822266
total_iter=219, loss_cls=1.4088703393936157, loss_fd=0.008384492248296738, loss_total=10.277620315551758
total_iter=220, loss_cls=1.5361883640289307, loss_fd=0.00855776946991682, loss_total=10.014025688171387
total_iter=221, loss_cls=1.289705753326416, loss_fd=0.008603811264038086, loss_total=9.518787384033203
total_iter=222, loss_cls=1.6966958045959473, loss_fd=0.008584721013903618, loss_total=10.834878921508789
total_iter=223, loss_cls=1.3829032182693481, loss_fd=0.008355274796485901, loss_total=9.209968566894531
total_iter=224, loss_cls=1.288456678390503, loss_fd=0.008409518748521805, loss_total=8.850966453552246
total_iter=225, loss_cls=1.728691577911377, loss_fd=0.008458452299237251, loss_total=10.668618202209473
total_iter=226, loss_cls=1.7402927875518799, loss_fd=0.00852968730032444, loss_total=11.324203491210938
total_iter=227, loss_cls=1.627421259880066, loss_fd=0.008623836562037468, loss_total=10.499899864196777
total_iter=228, loss_cls=1.5368306636810303, loss_fd=0.008699468336999416, loss_total=10.370002746582031
total_iter=229, loss_cls=1.4327819347381592, loss_fd=0.00858251191675663, loss_total=9.624123573303223
total_iter=230, loss_cls=1.6817817687988281, loss_fd=0.00859014317393303, loss_total=10.814651489257812
total_iter=231, loss_cls=1.458099126815796, loss_fd=0.008227932266891003, loss_total=9.353260040283203
total_iter=232, loss_cls=1.507878303527832, loss_fd=0.008405722677707672, loss_total=10.274884223937988
total_iter=233, loss_cls=1.6175850629806519, loss_fd=0.00857781432569027, loss_total=10.349043846130371
total_iter=234, loss_cls=1.8878675699234009, loss_fd=0.008367177098989487, loss_total=10.942730903625488
total_iter=235, loss_cls=1.4083261489868164, loss_fd=0.00827126856893301, loss_total=9.598652839660645
total_iter=236, loss_cls=1.4870761632919312, loss_fd=0.008342549204826355, loss_total=9.777925491333008
total_iter=237, loss_cls=1.3112587928771973, loss_fd=0.008551836013793945, loss_total=9.570053100585938
total_iter=238, loss_cls=1.5144380331039429, loss_fd=0.008248252794146538, loss_total=10.025580406188965
total_iter=239, loss_cls=1.5089466571807861, loss_fd=0.008534024469554424, loss_total=10.20863151550293
total_iter=240, loss_cls=1.9366469383239746, loss_fd=0.008628731593489647, loss_total=10.57659912109375
total_iter=241, loss_cls=1.6055973768234253, loss_fd=0.008434049785137177, loss_total=9.956542015075684
total_iter=242, loss_cls=1.642899513244629, loss_fd=0.00863703340291977, loss_total=10.858124732971191
total_iter=243, loss_cls=1.6009085178375244, loss_fd=0.008758187294006348, loss_total=10.250033378601074
total_iter=244, loss_cls=1.2815852165222168, loss_fd=0.008777298964560032, loss_total=9.543720245361328
total_iter=245, loss_cls=1.568986415863037, loss_fd=0.008975069038569927, loss_total=10.020512580871582
total_iter=246, loss_cls=1.5474478006362915, loss_fd=0.008992060087621212, loss_total=9.789429664611816
total_iter=247, loss_cls=1.233433485031128, loss_fd=0.008806008845567703, loss_total=8.937183380126953
total_iter=248, loss_cls=1.4571075439453125, loss_fd=0.00910927727818489, loss_total=9.703763008117676
total_iter=249, loss_cls=1.6337872743606567, loss_fd=0.008860303089022636, loss_total=10.3281831741333
total_iter=250, loss_cls=1.4769325256347656, loss_fd=0.008786860853433609, loss_total=10.179683685302734
total_iter=251, loss_cls=1.4851937294006348, loss_fd=0.008865633979439735, loss_total=9.32016372680664
total_iter=252, loss_cls=1.8866287469863892, loss_fd=0.008507313206791878, loss_total=10.603318214416504
total_iter=253, loss_cls=1.4960944652557373, loss_fd=0.00874429289251566, loss_total=9.800402641296387
total_iter=254, loss_cls=1.399086356163025, loss_fd=0.008844738826155663, loss_total=9.897589683532715
total_iter=255, loss_cls=1.7335561513900757, loss_fd=0.00858552660793066, loss_total=10.261890411376953
total_iter=256, loss_cls=1.863495945930481, loss_fd=0.00873003900051117, loss_total=10.547102928161621
total_iter=257, loss_cls=1.519787073135376, loss_fd=0.008916817605495453, loss_total=10.221293449401855
total_iter=258, loss_cls=1.7188535928726196, loss_fd=0.00875071994960308, loss_total=10.25592041015625
total_iter=259, loss_cls=1.534077525138855, loss_fd=0.008688971400260925, loss_total=9.155132293701172
total_iter=260, loss_cls=1.3366652727127075, loss_fd=0.008906685747206211, loss_total=9.47828197479248
total_iter=261, loss_cls=1.5851138830184937, loss_fd=0.008940309286117554, loss_total=10.180970191955566
total_iter=262, loss_cls=1.6384685039520264, loss_fd=0.008899266831576824, loss_total=9.8982515335083
total_iter=263, loss_cls=1.3286365270614624, loss_fd=0.009064484387636185, loss_total=9.40074348449707
total_iter=264, loss_cls=1.664983868598938, loss_fd=0.00888181384652853, loss_total=10.06537914276123
total_iter=265, loss_cls=1.3862732648849487, loss_fd=0.00892640557140112, loss_total=9.281785011291504
total_iter=266, loss_cls=1.4718326330184937, loss_fd=0.008916955441236496, loss_total=9.700336456298828
total_iter=267, loss_cls=1.4559054374694824, loss_fd=0.008925560861825943, loss_total=9.276772499084473
total_iter=268, loss_cls=1.5042896270751953, loss_fd=0.008936244994401932, loss_total=9.284963607788086
total_iter=269, loss_cls=1.4498192071914673, loss_fd=0.008985575288534164, loss_total=9.981161117553711
total_iter=270, loss_cls=1.3495124578475952, loss_fd=0.008801193907856941, loss_total=8.893970489501953
total_iter=271, loss_cls=1.3871049880981445, loss_fd=0.008833067491650581, loss_total=9.396282196044922
total_iter=272, loss_cls=1.4047083854675293, loss_fd=0.008880970999598503, loss_total=9.123615264892578
total_iter=273, loss_cls=1.751668930053711, loss_fd=0.009129287675023079, loss_total=10.333881378173828
total_iter=274, loss_cls=1.2573962211608887, loss_fd=0.009075872600078583, loss_total=9.176665306091309
total_iter=275, loss_cls=1.1363269090652466, loss_fd=0.009245982393622398, loss_total=9.215843200683594
total_iter=276, loss_cls=1.4510256052017212, loss_fd=0.009094171226024628, loss_total=9.241780281066895
total_iter=277, loss_cls=1.2902191877365112, loss_fd=0.009233806282281876, loss_total=9.656853675842285
total_iter=278, loss_cls=1.5749549865722656, loss_fd=0.009112219326198101, loss_total=10.277558326721191
total_iter=279, loss_cls=1.388367772102356, loss_fd=0.009051457047462463, loss_total=9.608587265014648
total_iter=280, loss_cls=1.4488608837127686, loss_fd=0.008924655616283417, loss_total=9.130461692810059
